feature,perm_mean,perm_std
std_asym,0.055555555555555566,0.05371087084345596
diff_auc,0.010317460317460333,0.027274349646729507
peak_R,0.007142857142857155,0.0302108989058322
cv_interval_L,0.007142857142857155,0.0254587538608658
mean_abs_diff,0.004761904761904778,0.028438845820903048
cv_interval_R,-0.006349206349206353,0.021236647873428036
mean_L,-0.009523809523809509,0.029864901146391707
n_steps,-0.017460317460317464,0.01937548510433921
std_L,-0.019047619047619035,0.02707733668132059
auc_L,-0.022222222222222206,0.026749681819607476
auc_R,-0.024603174603174592,0.031033674279392305
mean_interval_R,-0.025396825396825386,0.021236647873427997
ratio_auc_L_over_R,-0.026190476190476174,0.03757079485252262
peak_L,-0.03412698412698411,0.02274055362205459
diff_peak,-0.03412698412698411,0.0334935680095384
cadence_spm,-0.038888888888888855,0.02257375024337759
mean_asym,-0.05476190476190475,0.0359253025325596
mean_R,-0.06031746031746029,0.03826022474029826
std_R,-0.0603174603174603,0.030573587752790825
mean_interval_L,-0.06190476190476188,0.02721655269759086
