feature,rf_importance
std_asym,0.1528339507766555
mean_asym,0.09483869631207234
diff_auc,0.059028818503670116
mean_R,0.05885002868021437
ratio_auc_L_over_R,0.058396708651736316
std_R,0.05417658449529342
auc_R,0.04407980509702734
mean_abs_diff,0.04216046252405314
mean_interval_L,0.040983643348547816
cv_interval_R,0.04083994434786093
peak_R,0.04073708193743096
peak_L,0.04009975767828917
n_steps,0.03826082263297022
diff_peak,0.03776922792802544
mean_L,0.035938759640913844
mean_interval_R,0.03554844297342943
auc_L,0.03551468076124206
cv_interval_L,0.03160252027709318
std_L,0.02999275931310972
cadence_spm,0.02834730412036468
